Hindi,French
कौन (kaun),Who (kaun)
हों (hõ),Ho (hõ)
आर्थिक (ārthik),Economic (ārthik)
सहायता (sahāytā),Aid (sahāytā)
अतिरिक्त (atirikt),Additional
देर (der),Late (Der)
तरफ (taraph),Side (TARPH)
लेने (lene),Lene
चला (calā),Chala (calā)
सामाजिक (sāmājik),Social (sāmājik)
समझ (samajh),Understanding (samajh)
मगर (magar),But Magar
आते (āte),Come (āte)
बच्चे (bacce),Children (BACCE)
कला (kalā),Kala (kalā)
पत्र (patra),Letter (patra)
भीतर (bhītar),Inner (bītar)
संस्कृति (sanskŕti),Culture (sanskŕti)
उनमें (unmẽ),Among them (UNMẽ)
वर्ग (varg),Class (VARG)
विभाग (vibhāg),Department (vibhāg)
चाहता (cāhtā),Want (Cāhtā)
सिर (sir),Head (sir)
बताया (batāyā),Taid (batāyā)
जगह (jagah),Place (jagah)
वही (vahī),Same (Vahī)
इतनी (itnī),So much (itnī)
स्थापित (sthāpit),Sthāpit)
राष्ट्रीय (rāṣṭrīya),National (rāṣṭrīya)
स्वर (svar),Svar
क्षेत्रों (kṣetrõ),Areas (kṣetrõ)
जिसके (jiske),Whose (jiske)
जन्म (janma),Birth (Janma)
जाए (jāe),Jae (jāe)
दौरान (daurān),During (daurān)
गांधी (gāndhī),Gandhi (gāndhī)
हाँ (hā̃),Yes (hā̃)
जनता (jantā),Public (jantā)
किस (kis),Kiss (kis)
केन्द्र (kendra),Center (Kendra)
साहब (sāhab),Sahab (sāhab)
पूर्ण (pūrṇ),Full (pūrṇ)
पुलिस (pulis),Police (Pulis)
बोला (bolā),Bola (bolā)
थईआ (thaīā),Thaia (Thaīā)
कमी (kamī),Decreased (kamī)
समस्या (samasyā),Problem (samasyā)
कार्यक्रम (kāryakram),Program (Kāryakram)
विवाह (vivāh),Marriage (vivāh)
भूमि (bhūmi),Land (Bhūmi)
भाव (bhāv),Bhava (bhāv)
देखकर (dekhkar),See (dekhkar)
करोड़ (karoṛ),Crore (karoṛ)
प्रथम (pratham),First (Pratham)
मूल (mūl),Original (mūl)
परिवर्तन (parivartan),Parivartan
बच्चों (baccõ),Children (BACCõ)
लाभ (lābh),Benefit (lābh)
प्रदान (pradān),Provided (pradān)
आये (āye),Come (āye)
छोटी (choṭī),Small (choṭī)
स्त्री (strī),Woman (Strī)
सेवा (sevā),Seva (sevā)
व्यवहार (vyavhār),Behavior (vyavhār)
राम (rām),Ram (rām)
रचना (racnā),Composition (racnā)
की (kī),K (kī)
भिन्न (bhinna),Different (bhinna)
मिट्टी (miṭṭī),Clay (miṭṭī)
देशों (deśõ),Countries (deśõ)
इनके (inke),Their (inke)
आती (ātī),Come (ātī)
सही (sahī),Right (Sahī)
उपलब्ध (uplabdh),Available (uplabdh)
बल्कि (balki),Rather (Balki)
प्राय (prāy),Abhin (prāy)
बिजली (bijlī),Electricity (bijlī)
लेते (lete),Lete
जान (jān),John (jān)
बढ़ (baṛh),Grow (baṛh)
सारे (sāre),Sare (sāre)
शायद (śāyad),Maybe (śāyad)
सरकारी (sarkārī),Government (sarkārī)
पड़ (paṛ),Paṛ (PAṛ)
चुका (cukā),Taun (cukā)
पड़ा (paṛā),Lying (paṛā)
विधि (vidhi),Method (vidhi)
छोड़ (choṛ),Quit (Choṛ)
लिखा (likhā),Likh (likhā)
जबकि (jabki),While (jabki)
सिर्फ (sirph),Just (sirph)
दर्शन (darśan),Darshan (Darśan)
प्रक्रिया (prakriyā),Procedure (prakriyā)
दिखाई (dikhāī),Show (dikhāī)
कुल (kul),Total (kul)
शब्दों (śabdõ),Words (śabdõ)
लाल (lāl),Lal (lāl)
निकल (nikal),Nikal (nikal)
नये (naye),New (Naye)
रखने (rakhne),Rakhne
पंजाब (pañjāb),Punjab (pañjāb)
नदी (nadī),River (nadī)
गए (gae),Gae
मृत्यु (mŕtyu),Death (mŕtyu)
स्वीकार (svīkār),Accept (svīkār)
अन्तरिक्ष (antarikṣ),Antarikṣ
आकर (ākar),Come (ākar)
याद (yād),Yaad (yād)
उठा (uṭhā),Pick up (uṭhā)
दूध (dūdh),Milk (dūdh)
कांग्रेस (kāṅgres),Congress (kāṅgres)
सारी (sārī),Sara (sārī)
माध्यम (mādhyam),Medium (mādhyam)
दूसरा (dūsrā),Second (dūsrā)
संबंध (sambandh),Relationship (sambandh)
जिन (jin),Jin (jin)
चाहे (cāhe),Whether (cāhe)
चाहते (cāhte),Want (Cāhte)
प्रणाली (praṇālī),System (praṇālī)
तभी (tabhī),Then (Tabhī)
होंगे (hoṅge),Will be
इनमें (inmẽ),These (Inmẽ)
सन (san),Sun (San)
मान (mān),Maan (mān)
पुत्र (putra),Putra (Putra)
उद्देश्य (uddeśya),Objective (uddeśya)
विश्वास (viśvās),Faith (viśvās)
पिछले (pichle),Last (Pichle)
ताकि (tāki),So (tāki)
निश्चित (niścit),Fixed (niścit)
जिसका (jiskā),Whose (jiskā)
जानकारी (jānkārī),Information (jānkārī)
नेता (netā),Leader (Netā)
बालक (bālak),Balak (Bālak)
अन्त (ant),End
उचित (ucit),Appropriate (UCIT)
संगीत (saṅgīt),Music (saṅgīt)
जल्दी (jaldī),Early (jaldī)
क्षमता (kṣamtā),Capacity (kṣamtā)
हजार (hajār),Thousand (Hajār)
जाएगा (jāegā),Will go (jāegā)
बनाया (banāyā),Built (banāyā)
पति (pati),Husband (Pati)
कोशिश (kośiś),Try (kośiś)
चुके (cuke),Cuke
खाने (khāne),Eat (khāne)
फसल (phasal),Crop (Phasal)
प्रकृति (prakŕti),Nature (Prakŕti)
पौधों (paudhõ),Plants (Paudhõ)
प्रकट (prakaṭ),Manifest (Prakaṭ)
पक्ष (pakṣ),Side (pakṣ)
नीति (nīti),Policy (nīti)
यद्यपि (yadyapi),Although (yadyapi)
मात्र (mātra),Mere mātra)
भारी (bhārī),Heavy (bhārī)
पुस्तकालय (pustakālay),Library (pustakālay)
चले (cale),Calle
समिति (samiti),Committee (Samiti)
सामग्री (sāmagrī),Material (sāmagrī)
चाहिये (cāhiye),Want (cāhiye)
अन्तर्गत (antargat),Antargat
माल (māl),Goods (māl)
शामिल (śāmil),Included (śāmil)
बोली (bolī),Bid (bolī)
उनसे (unse),From them (UNSE)
अपेक्षा (apekṣā),Expectation (apekṣā)
हेतु (hetu),For (hetu)
नगर (nagar),Nagar (Nagar)
दिये (diye),Diye
सम्बन्धी (sambandhī),Relative (sambandhī)
पुस्तक (pustak),Book (Pustak)
खुद (khud),Himself (khud)
वर्णन (varṇan),Description (Varṇan)
बने (bane),Bane
जोर (jor),Jor (Jor)
करें (karẽ),Do (karẽ)
जिनमें (jinmẽ),In which (jinmẽ)
लक्षण (lakṣaṇ),Symptoms (lakṣaṇ)
नामक (nāmak),Named (nāmak)
वहीं (vahī̃),There (VAHī̃)
तुम्हारे (tumhāre),Tum (tumhāre)
विश्व (viśva),World (viśva)
शासन (śāsan),Śāsan)
वैसे (vaise),By the way (vaise)
युग (yug),Yuga (Yug)
बैठ (baiṭh),Sit (baiṭh)
स्थापना (sthāpnā),Establishment (sthāpnā)
अर्थात (arthāt),Ie Arthāt)
सारा (sārā),Sara (sārā)
लेता (letā),Take (letā)
लगती (lagtī),Lagtī (lagtī)
शैली (śailī),Style (śailī)
लें (lẽ),Take (lẽ)
पार्टी (pārṭī),Party (pārṭī)
गीत (gīt),Song (gīt)
अवसर (avsar),Opportunity (avsar)
युद्ध (yuddh),War (Yuddh)
मालूम (mālūm),Know (mālūm)
चारों (cārõ),All four (cārõ)
प्रकाश (prakāś),Prakash (prakāś)
जायेगा (jāyegā),Will go (jāyegā)
बैठे (baiṭhe),Sitting (baiṭhe)
तुम्हें (tumhẽ),You (tumhẽ)
समाप्त (samāpt),Ended (samāpt)
जाय (jāy),Jay (jāy)
साफ (sāph),Clean (sāph)
धार्मिक (dhārmik),Religious (dhārmik)
ताप (tāp),Tāp)
उल्लेख (ullekh),Mention (ullekh)
वर्तमान (vartamān),Current (vartamān)
लेना (lenā),Lak (lenā)
थोड़ी (thoṛī),A little (thoṛī)
इनका (inkā),Their (inkā)
विकसित (viksit),Viksit
बन्द (band),Closed
प्रसिद्ध (prasiddh),Famous (Prasiddh)
विशिष्ट (viśiṣṭ),Specific (viśiṣṭ)
प्रेम (prem),Prem
चली (calī),Chali (Calī)
रखते (rakhte),Rakhte
भावना (bhāvnā),Bhavna (bhāvnā)
चलता (caltā),Caltā)
सिद्ध (siddh),Siddh (siddh)
वालों (vālõ),Women (vālõ)
चित्रों (citrõ),Pictures (Citrõ)
पुरुष (puruṣ),Male (Puruṣ)
पदार्थ (padārth),Substance (padārth)
चर्चा (carcā),Discussion (carcā)
खाना (khānā),Food (khānā)
उच्च (ucc),High (UCC)
इतने (itne),So much (itne)
दी (dī),Di (dī)
दिए (die),DIE
सीमा (sīmā),Seema (sīmā)
वस्तु (vastu),Object (vastu)
पड़ी (paṛī),Lying (paṛī)
गति (gati),Gati (gati)
अत्यन्त (atyant),Extreme (atyant)
संगठन (saṅgṭhan),Organization (saṅgṭhan)
कितना (kitnā),How much (kitnā)
इस्तेमाल (istemāl),Use (istemāl)
बाबा (bābā),Baba (bābā)
प्रकाशित (prakāśit),Prakāśit)
ढंग (ḍhaṅg),Manner (ḍhaṅg)
अधिकार (adhikār),Rights (adhikār)
उधर (udhar),There (Udhar)
पड़े (paṛe),Paṛe
सके (sake),Sake
सूचना (sūcnā),Information (sūcnā)
अंग्रेजी (aṅgrejī),English (Aṅgrejī)
सुन्दर (sundar),Beautiful (sundar)
पुनः (punaḥ),Again (punaḥ)
केंद्रीय (kendrīya),Central (kendraīya)
आधुनिक (ādhunik),Modern (ādhunik)
शहर (śahar),City (śahar)
प्रधानमंत्री (pradhānmantrī),Prime Minister (pradhānmantrī)
ब्राह्मण (brāhmaṇ),Brahmin (brāhmaṇ)
उनको (unko),Them (unko)
महीने (mahīne),Month (Mahīne)
अच्छे (acche),Good (acche)
हवा (havā),Hawa (havā)
शाम (śām),Sham (śām)
इधर (idhar),Here (idhar)
संसार (sansār),Sansā (sansār)
विरोध (virodh),Protest (virodh)
रखना (rakhnā),Keep (rakhnā)
प्रशिक्षण (praśikṣaṇ),Training (Praśikṣaṇ)
संघ (saṅgh),Union
बनी (banī),Bani (banī)
पृथ्वी (pŕthvī),Earth (Pŕthvī)
ऊर्जा (ūrjā),Energy (ūrjā)
हमने (hamne),We (hamne)
वास्तविक (vāstavik),Real (vāstavik)
सहयोग (sahyog),Cooperation (SAHYOG)
तेल (tel),Oil
अवधि (avdhi),Period (avdhi)
सात (sāt),Seven (sāt)
लगते (lagte),Lagte
मार्ग (mārg),Marg (Mārg)
बंद (band),Closed
प्रचलित (praclit),PRACLIT
संघर्ष (saṅgharṣ),Conflict (saṅgharṣ)
दिशा (diśā),Disha (diśā)
स्थित (sthit),Located
बैठा (baiṭhā),Bit (baiṭhā)
वर्षों (varṣõ),Years (Varṣõ)
अधिकांश (adhikānś),Most (adhikānś)
शादी (śādī),Marriage (śādī)
वातावरण (vātāvraṇ),Atmosphere (vātāvraṇ)
तुलना (tulnā),Comparison (tulnā)
राजीव (rājīv),Rajiv (rājīv)
साधारण (sādhāraṇ),Simple (sādhāraṇ)
सम्पूर्ण (sampūrṇ),Complete (Sampūrṇ)
राजस्थान (rājasthān),Rajasthan (rājasthān)
सफल (saphal),Successful (Saphal)
कितने (kitne),How many (kitne)
वापस (vāpas),Back (vāpas)
मानसिक (mānsik),Mental (mānsik)
परम्परा (paramparā),Paramparā)
बोले (bole),Bole
बीज (bīj),Seed (bīj)
खेल (khel),Game (Khel)
अंग (aṅg),Ang (AṅG)
बैठक (baiṭhak),Meeting (baiṭhak)
जरूरत (jarūrat),Need (Jarūrat)
ग्रामीण (grāmīṇ),Rural (Grāmīṇ)
इनकी (inkī),Their (inkī)
कथा (kathā),Katha (kathā)
आयु (āyu),Age (āyu)
बातचीत (bātcīt),Bātcīt)
प्रभावित (prabhāvit),Prabhāvit)
निर्धारित (nirdhārit),Nirdhārit)
निकाल (nikāl),Remove (nikāl)
घटना (ghaṭnā),Event (ghaṭnā)
कितनी (kitnī),How many (kitnī)
कवि (kavi),Kavi (Kavi)
रक्त (rakt),Rakt
बालकों (bālkõ),Children (bālkõ)
किसान (kisān),Farmer (kisān)
इच्छा (icchā),Desire (icchā)
आयी (āyī),Aayi (āyī)
बजे (baje),At Baje
चेहरे (cehre),Facial (Cehre)
गुण (guṇ),Properties (Guṇ)
आकार (ākār),Size (ākār)
हृदय (hŕday),Heart (Hday)
राज (rāj),Raj (rāj)
मार (mār),Mara (mār)
चुकी (cukī),Tai (Cukī)
यात्रा (yātrā),Yatra (yātrā)
नष्ट (naṣṭ),Destroy (naṣṭ)
खेती (khetī),Farming (khetī)
सुबह (subah),Morning (subah)
नयी (nayī),New (Nayī)
जिन्हें (jinhẽ),Those (jinhẽ)
आरम्भ (ārambh),Beginning (ārambh)
सुनकर (sunkar),Hearing (sunkar)
वायु (vāyu),Air (vāyu)
नजर (najar),Nazar (Najar)
थोड़ा (thoṛā),Little (thoṛā)
खाली (khālī),Empty (khālī)
ॐ (om),ॐ (om)
खोज (khoj),Search (khoj)
एकदम (ekdam),Absolutely (ekdam)
व्यक्तियों (vyaktiyõ),Individuals (vyaktiyõ)
राजनीतिक (rājnītik),Political (rājnītik)
आँखें (ā̃khẽ),Eyes (ā̃khẽ)
संबंधित (sambandhit),Related (sambandhit)
तेज (tej),Tej (Tej)
जरा (jarā),Zara (jarā)
व्यक्तित्व (vyaktitva),Personality (vyaktitva)
बदल (badal),Change (Badal)
सवाल (savāl),Question (Savāl)
उपभोक्ता (upbhoktā),Consumer (upbhoktā)
उपज (upaj),Yield (upaj)
सुख (sukh),Sukh (Sukh)
मानते (mānte),Mānte)
मकान (makān),House (makān)
तेजी (tejī),Fast (tejī)
जुलाई (julāī),July (julāī)
प्रयत्न (prayatna),Prayatna (Prayatna)
देवता (devtā),Deity (devtā)
जानते (jānte),Know (jānte)
कपड़े (kapṛe),Clothes (Kapṛe)
संभव (sambhav),Possible (sambhav)
सकता (saktā),Can (Saktā)
मदद (madad),Help (Madad)
वास्तव (vāstav),Really (vāstav)
निकट (nikaṭ),Near (nikaṭ)
चलते (calte),Calte
बाकी (bākī),Rest (Bākī)
सोच (soc),Think (SoC)
समस्त (samast),All (samast)
सदस्य (sadasya),Member (Sadasya)
कठिन (kaṭhin),Hard (kaṭhin)
अरे (are),Hey (Are)
राज्यों (rājyõ),States (rājyõ)
नया (nayā),New (nayā)
सीधे (sīdhe),Straight (sīdhe)
फूल (phūl),Flower (Phūl)
किस्म (kisma),Variety (KISMA)
अभाव (abhāv),Lack (abhāv)
जरूरी (jarūrī),Essential (jarūrī)
सेना (senā),Army (Senā)
श्रम (śram),Labor (śram)
विदेशी (videśī),Foreign (VIDEśī)
बाल (bāl),Bal (bāl)
पुराने (purāne),Purāne)
किंतु (kintu),But (kintu)
विस्तार (vistār),Vistār)
जाएगी (jāegī),Will (jāegī)
छोटा (choṭā),Chhota (Choṭā)
वनस्पति (vanaspati),Vanaspati
खर्च (kharc),Expenses (kharc)
पार (pār),Paar (pār)
अधिकारी (adhikārī),Officer (adhikārī)
चलने (calne),Calne
आशा (āśā),Asha (āśā)
सुधार (sudhār),Improvement (sudhār)
विशाल (viśāl),Vishal (viśāl)
पूर्ति (pūrti),Fulti (PūRTI)
डाल (ḍāl),Dal (ḍāl)
जानता (jāntā),Know (jāntā)
महसूस (mahsūs),Felt (mahsūs)
बोल (bol),Bol (bol)
प्रतीत (pratīt),Appear
अध्यक्ष (adhyakṣ),Chairman (Adhyakṣ)
सीखने (sīkhne),Learning (sīkhne)
वर्ण (varṇ),Varna (Varṇ)
व्यापक (vyāpak),Wide (vyāpak)
भविष्य (bhaviṣya),Future (bhaviṣya)
ध्वनि (dhvani),Sound (dhvani)
प्रयुक्त (prayukt),Prayukt
प्रचार (pracār),Promotion (PRACAR)
प्यार (pyār),Pyaar (pyār)
शिक्षण (śikṣaṇ),Teaching (śikṣaṇ)
शेष (śeṣ),Remaining (śeṣ)
मार्च (mārc),March (mārc)
दुनिया (duniyā),Duniyā)
ख्याल (khyāl),Khyal (khyāl)
प्रगति (pragti),Pragti
गैस (gais),Gais
लगातार (lagātār),Constant (lagātār)
तौर (taur),Taur (Taur)
उन्हीं (unhī̃),Only those (unhī̃)
सुरक्षित (surakṣit),Safe (sukṣit)
सभा (sabhā),Sabha (sabhā)
लौट (lauṭ),Laut (lauṭ)
लागत (lāgat),Lāgat)
बनाये (banāye),Banāye)
दर्द (dard),Dard
आखिर (ākhir),Finally (ākhir)
सोचा (socā),Socha (Socā)
दें (dẽ),Give (dẽ)
चीज (cīj),Cheese (cīj)
कल्पना (kalpanā),Kalpana (kalpanā)
लक्ष्य (lakṣya),Target (lakṣya)
चाय (cāy),Tea (cāy)
खूब (khūb),Give (khūb)
श्रीमती (śrīmtī),Mrs. (śRīMTī)
लाने (lāne),Lap (lāne)
मुक्त (mukt),Free (mukt)
बुद्धि (buddhi),Wisdom (buddhi)
पश्चिम (paścim),West (Paścim)
खेत (khet),Farm
होनी (honī),Honi (Honī)
चाहती (cāhtī),Want (Cāhtī)
उपयुक्त (upyukt),Appropriate (upyukt)
अंत (ant),End
साधन (sādhan),Sādhan)
संकेत (saṅket),Hint (saṅket)
वस्तुओं (vastuõ),Objects (vastu)
मामले (māmle),Case (māmle)
बनाकर (banākar),Banākar)
सहज (sahaj),Sahaj (sahaj)
सदा (sadā),Forever (sadā)
शारीरिक (śārīrik),Physical (śārīrik)
पकड़ (pakaṛ),Catch (pakaṛ)
उपाय (upāy),Remedy (upāy)
संस्थान (sansthān),Institute (sansthān)
सफलता (saphaltā),Success (saphaltā)
बाबू (bābū),Babu (bābū)
तुम्हारी (tumhārī),Your (tumhārī)
भूल (bhūl),Forget (bhūl)
आत्मा (ātmā),Soul (ātmā)
विचारों (vicārõ),Ideas (vicārõ)
रखी (rakhī),Keep (rakhī)
भूमिका (bhūmikā),Role (bhūmikā)
पैर (pair),Foot (Pair)
करे (kare),Kare (kare)
हाथों (hāthõ),Hand (hāthõ)
भवन (bhavan),Building (Bhavan)
नियम (niyam),Rules (NIYAM)
दिल (dil),Heart (DIL)
तकनीकी (taknīkī),Technical (Taknīkī)
जिसकी (jiskī),Whose (jiskī)
शिशु (śiśu),Infant (śiśu)
व्यय (vyay),Expenditure (VYAY)
पेट (peṭ),Stomach (PEṭ)
नींद (nīnd),Sleep (Nīnd)
नेताओं (netāõ),Leaders (Netāõ)
अंदर (andar),Inside (andar)
लागू (lāgū),Applied (lāgū)
बनने (banne),Banne
त्वचा (tvacā),Skin (tvacā)
गायन (gāyan),Gāyan)
राजनीति (rājnīti),Politics (rājnīti)
जमा (jamā),Deposit (jamā)
सुविधा (suvidhā),Suvidha (suvidhā)
बोर्ड (borḍ),Board (Borḍ)
कानून (kānūn),Law (kānūn)
शुरु (śuru),Start (śuru)
लेखक (lekhak),Author (lekhak)
बावजूद (bāvjūd),Despite (bāvjūd)
क्रम (kram),Sequence (kram)
लगने (lagne),Lagne
तुमने (tumne),You (tumne)
हाल (hāl),Hall (hāl)
सम्भव (sambhav),Possible (sambhav)
स्टेशन (sṭeśan),Station (sṭeśan)
अगले (agle),Next (Agle)
रास्ते (rāste),Road (Rāsste)
मस्तिष्क (mastiṣk),Brain (Mastiṣk)
गर्म (garm),Hot (Garm)
संबंधी (sambandhī),Relative (sambandhī)
यानी (yānī),That is (yānī)
पुरानी (purānī),Old (Purānī)
चित्रण (citraṇ),Illustration
अधिकारियों (adhikāriyõ),Officers (adhikāriyõ)
संस्कृत (sanskŕt),Sanskrit (sanskŕt)
सुन (sun),Sun (Sun)
युवक (yuvak),Youth (Yuvak)
पाठ (pāṭh),Lesson (pāṭh)
स्थानों (sthānõ),Places (sthānõ)
वर्षा (varṣā),Varsha (Varṣā)
रखकर (rakhkar),Keeping (rakhkar)
पशु (paśu),Animal (Paśu)
किसानों (kisānõ),Farmers (kisānõ)
सत्ता (sattā),Power (sattā)
प्राप्ति (prāpti),Receive (prāpti)
दवा (davā),Medicine (davā)
खास (khās),Khas (khās)
कमेटी (kameṭī),Committee (KAMEṭī)
अंक (aṅk),Numeral (AṅK)
हानि (hāni),Loss (hāni)
सरल (saral),Simple
सिंचाई (siñcāī),Irrigation (siñcāī)
शिकार (śikār),Hunt (śikār)
वृक्ष (vŕkṣ),Tree (vŕkṣ)
